Scroll to bottom to see averages.
<Process #, arrival_time, requested_service_time>
<172, 76.7212, 2.99284>
<173, 76.7562, 0.468235>
<174, 78.0822, 0.55126>
<175, 79.1872, 0.184737>
<176, 79.3792, 0.0836818>
<177, 80.0031, 1.21928>
<178, 80.938, 0.0431711>
<179, 81.2505, 0.381542>
<180, 82.4839, 0.763365>
<181, 82.7003, 0.0309132>
<182, 82.7007, 0.130528>
<183, 83.7609, 0.940024>
<184, 86.3028, 1.84479>
<185, 86.9389, 0.159846>
<186, 87.1803, 0.494419>
<187, 87.2046, 1.09655>
<188, 87.4123, 0.122265>
<189, 87.4327, 0.31392>
<190, 87.8197, 2.66167>
<191, 88.1079, 1.94995>
<192, 88.1132, 0.163642>
<193, 88.5263, 1.9401>
<194, 88.6336, 0.0273244>
<195, 88.7289, 0.11469>
<196, 89.1404, 0.744076>
<197, 89.2151, 0.824536>
<198, 89.736, 0.0189985>
<199, 89.8297, 1.02443>
<200, 90.8155, 2.214>
<201, 91.5928, 0.279188>
<202, 91.7576, 1.80992>
<203, 92.9593, 0.969541>
<204, 94.4715, 2.98482>
<205, 95.5759, 0.6739>
<206, 96.6345, 0.397891>
<207, 96.8484, 2.20786>
<208, 97.1746, 2.41105>
<209, 97.8605, 1.11604>
<210, 99.2447, 2.5242>
<211, 100.004, 0.68934>
<212, 100.298, 2.52051>
<213, 100.328, 0.0964002>
<214, 101.722, 0.262141>
<215, 102.382, 1.60526>
<216, 102.447, 0.737355>
<217, 102.469, 0.514412>
<218, 102.69, 3.04377>
<219, 102.702, 0.37016>
<220, 103.862, 2.44249>
<221, 104.666, 1.52059>
<222, 104.804, 0.159772>
<223, 105.361, 1.2749>
<224, 105.39, 0.541038>
<225, 105.64, 5.33392>
<226, 105.846, 0.190859>
<227, 106.186, 1.52527>
<228, 106.235, 0.805023>
<229, 107.272, 0.0322479>
<230, 108.037, 0.934548>
<231, 108.926, 2.35236>
<232, 108.995, 2.06879>
<233, 109.178, 0.667119>
<234, 110.052, 0.40032>
<235, 110.848, 1.30123>
<236, 110.987, 0.905969>
<237, 111.343, 0.662175>
<238, 112.023, 0.199305>
<239, 112.138, 1.61673>
<240, 112.594, 0.910755>
<241, 113.39, 2.75342>
<242, 114.129, 0.342343>
<243, 114.763, 2.00147>
<244, 115.688, 0.899107>
<245, 116.823, 0.984403>
<246, 116.934, 1.30009>
<247, 117.313, 0.399228>
<248, 117.773, 1.82137>
<249, 118.619, 0.557147>
<250, 118.711, 0.947184>
<251, 118.795, 0.529399>
<252, 118.912, 1.09118>
<253, 120.04, 3.02681>
<254, 120.972, 0.1055>
<255, 121.671, 0.585975>
<256, 122.27, 0.797642>
<257, 122.508, 0.633813>
<258, 123.423, 0.103647>
<259, 123.627, 1.14672>
<260, 124.215, 0.262528>
<261, 124.399, 2.22403>
<262, 125.989, 1.83167>
<263, 126.114, 0.819937>
<264, 126.681, 0.0376683>
<265, 128.84, 1.87172>
<266, 129.364, 0.152756>
<267, 129.513, 1.94599>
<268, 130.332, 0.165458>
<269, 131.159, 1.05189>
<270, 131.305, 0.824776>
<271, 131.354, 3.00628>
<272, 131.413, 0.642237>
<273, 131.686, 3.0115>
<274, 132.11, 1.40347>
<275, 132.612, 0.306344>
<276, 134.717, 2.84327>
<277, 134.801, 2.87423>
<278, 135.562, 0.472702>
<279, 135.912, 0.615572>
<280, 136.179, 0.672914>
<281, 136.361, 0.0648457>
<282, 136.86, 0.8278>
<283, 138.123, 0.574977>
<284, 138.751, 1.30426>
<285, 138.797, 3.4453>
<286, 138.969, 0.201091>
<287, 140.223, 0.513445>
<288, 140.757, 0.413381>
<289, 140.974, 0.259277>
<290, 141.023, 4.23063>
<291, 141.362, 0.0812113>
<292, 142.672, 1.04399>
<293, 142.683, 1.23388>
<294, 142.695, 0.743646>
<295, 142.787, 0.576766>
<296, 142.795, 0.643058>
<297, 143.142, 1.03802>
<298, 143.161, 0.546484>
<299, 143.205, 1.39753>
<300, 143.286, 0.187691>
<301, 143.924, 0.579706>
<302, 144.142, 1.02034>
<303, 145.063, 0.00938316>
<304, 146.974, 0.215497>
<305, 147.109, 0.0736089>
<306, 147.208, 1.30928>
<307, 147.289, 0.112651>
<308, 147.526, 0.186941>
<309, 148.371, 0.515125>
<310, 148.965, 4.12814>
<311, 149.884, 1.23626>
<312, 150.19, 0.418456>
<313, 150.41, 0.684214>
<314, 151.13, 0.577148>
<315, 151.272, 2.43726>
<316, 151.743, 3.4804>
<317, 151.96, 3.29477>
<318, 152.429, 0.215726>
<319, 154.222, 0.883944>
<320, 154.467, 0.235713>
<321, 155.003, 0.837523>
<322, 156.41, 1.64393>
<323, 156.97, 0.382605>
<324, 158.862, 0.67165>
<325, 159.5, 1.11602>
<326, 159.82, 0.824061>
<327, 160.061, 2.67695>
<328, 161.229, 1.33685>
<329, 161.507, 1.09735>
<330, 161.604, 1.12408>
<331, 162.036, 1.53927>
<332, 162.553, 2.67922>
<333, 163.243, 0.29167>
<334, 163.31, 1.27528>
<335, 164.225, 0.72017>
<336, 165.56, 0.688457>
<337, 165.602, 2.045>
<338, 165.783, 1.40367>
<339, 165.888, 0.330894>
<340, 166.027, 2.39722>
<341, 167.568, 1.26042>
<342, 167.886, 0.409607>
<343, 168.408, 0.467884>
<344, 168.446, 0.0773478>
<345, 168.466, 0.286678>
<346, 169.158, 0.964343>
<347, 169.176, 0.500434>
<348, 169.575, 1.52829>
<349, 170.096, 1.12571>
<350, 170.446, 0.666608>
<351, 170.551, 0.569839>
<352, 172.625, 0.313967>
<353, 172.806, 0.340566>
<354, 172.818, 0.680313>
<355, 173.241, 0.310888>
<356, 173.498, 0.743365>
<357, 175.556, 2.0632>
<358, 176.541, 0.997932>
<359, 176.682, 2.71801>
<360, 177.294, 0.33764>
<361, 177.395, 0.607467>
<362, 178.574, 0.245836>
<363, 179.519, 0.607821>
<364, 179.52, 0.684626>
<365, 179.59, 0.702768>
<366, 181.606, 0.385587>
<367, 183.006, 3.39549>
<368, 183.451, 0.279945>
<369, 183.599, 0.949766>
<370, 184.268, 1.7456>
<371, 185.329, 0.151156>
<372, 185.545, 1.9954>
<373, 185.551, 0.236389>
<374, 185.893, 0.300926>
<375, 185.971, 0.224633>
<376, 186.367, 0.397142>
<377, 186.901, 0.600986>
<378, 187.295, 0.704137>
<379, 188.484, 0.791324>
<380, 188.485, 0.0389847>
<381, 188.511, 4.10197>
<382, 188.733, 4.67919>
<383, 190.23, 2.94863>
<384, 190.364, 0.229469>
<385, 190.775, 3.59736>
<386, 190.791, 0.581838>
<387, 190.851, 0.478767>
<388, 191.033, 0.134824>
<389, 191.48, 1.61229>
<390, 191.724, 1.32992>
<391, 191.724, 2.69434>
<392, 191.757, 1.07359>
<393, 191.999, 0.938979>
<394, 192.089, 0.344374>
<395, 192.174, 0.18017>
<396, 192.373, 0.232274>
<397, 192.454, 1.16396>
<398, 192.564, 0.103438>
<399, 193.068, 0.567172>
<400, 193.249, 0.21828>
<401, 193.509, 0.406191>
<402, 194.016, 0.730573>
<403, 194.642, 2.85422>
<404, 195.16, 0.364203>
<405, 195.839, 0.0309708>
<406, 195.86, 1.36543>
<407, 197.507, 0.109828>
<408, 197.765, 0.426257>
<409, 198.389, 0.836176>
<410, 198.897, 2.03038>
<411, 199.555, 3.44071>
<412, 199.594, 2.11893>
<413, 200.128, 0.320164>
<414, 202.038, 0.343976>
<415, 202.652, 0.330478>
<416, 202.986, 0.119143>
<417, 203.463, 0.132826>
<418, 203.961, 0.399742>
<419, 203.996, 0.321838>
<420, 204.5, 1.65942>
<421, 204.682, 1.12549>
<422, 205.086, 0.312781>
<423, 205.842, 3.15656>
<424, 206.32, 0.678267>
<425, 206.692, 0.293069>
<426, 206.916, 0.295138>
<427, 207.041, 0.574837>
<428, 207.114, 2.10127>
<429, 207.735, 0.120495>
<430, 207.827, 0.541312>
<431, 208.078, 1.06684>
<432, 208.456, 0.0102276>
<433, 209.214, 0.17557>
<434, 209.422, 1.87778>
<435, 209.708, 3.6667>
<436, 210.243, 1.35436>
<437, 210.768, 0.237369>
<438, 210.773, 0.561182>
<439, 210.865, 0.983817>
<440, 212.141, 1.18023>
<441, 213.201, 0.332943>
<442, 214.683, 0.107735>
<443, 215.32, 0.0874904>
<444, 217.272, 0.56487>
<445, 217.382, 0.160857>
<446, 218.329, 0.89705>
<447, 219.145, 0.477902>
<448, 219.607, 0.878949>
<449, 219.996, 2.84882>
<450, 220.278, 3.77858>
<451, 221.52, 0.0928534>
<452, 222.155, 0.835802>
<453, 222.333, 1.30752>
<454, 225.086, 0.632428>
<455, 225.306, 2.49993>
<456, 225.394, 0.268893>
<457, 225.506, 0.116368>
<458, 225.713, 2.54454>
<459, 225.82, 0.382349>
<460, 226.038, 0.495798>
<461, 226.352, 0.226447>
<462, 228.393, 0.315836>
<463, 228.83, 0.8808>
<464, 229.798, 0.131811>
<465, 230.173, 0.338911>
<466, 230.226, 0.587279>
<467, 230.462, 1.71297>
<468, 230.467, 1.12732>
<469, 230.865, 0.00659658>
<470, 230.944, 2.35184>
<471, 232.235, 0.365701>
<472, 232.311, 0.134198>
<473, 232.58, 0.651028>
<474, 232.604, 0.94101>
<475, 233.4, 0.511043>
<476, 233.4, 0.304574>
<477, 233.862, 4.12434>
<478, 234.243, 0.204964>
<479, 234.664, 0.492634>
<480, 234.849, 0.102045>
<481, 235.413, 0.526709>
<482, 235.802, 0.0539977>
<483, 235.932, 0.802536>
<484, 236.585, 1.50645>
<485, 236.993, 2.06723>
<486, 237.568, 0.659458>
<487, 237.667, 1.73552>
<488, 238.136, 0.906081>
<489, 238.316, 1.06573>
<490, 238.431, 0.103602>
<491, 238.46, 0.231104>
<492, 238.683, 1.07418>
<493, 238.789, 2.24773>
<494, 239.717, 1.42522>
<495, 239.884, 0.165539>
<496, 240.855, 3.21351>
<497, 241.267, 0.507046>
<498, 241.274, 1.56611>
<499, 242.767, 1.35099>
<500, 243.188, 0.709117>
<501, 243.665, 0.291098>
<502, 246.008, 1.58101>
<503, 246.048, 0.914396>
<504, 246.295, 0.475508>
<505, 246.442, 0.90582>
<506, 246.766, 0.371675>
<507, 247.576, 1.81908>
<508, 249.311, 4.86676>
<509, 249.969, 1.67447>
<510, 250.666, 0.0156532>
<511, 252.345, 0.937514>
<512, 254.196, 0.749026>
<513, 254.199, 4.39548>
<514, 254.39, 3.11599>
<515, 255.042, 2.18715>
<516, 255.354, 0.420318>
<517, 255.429, 0.605826>
<518, 255.503, 0.244074>
<519, 255.531, 0.749766>
<520, 255.983, 0.368725>
<521, 256.049, 0.07456>
<522, 256.531, 2.59622>
<523, 257.733, 0.885885>
<524, 258.982, 1.02683>
<525, 259.238, 1.10743>
<526, 259.773, 0.454757>
<527, 259.936, 1.00159>
<528, 261.052, 0.334243>
<529, 261.536, 0.236847>
<530, 261.673, 0.42933>
<531, 261.725, 1.21528>
<532, 262.314, 0.273087>
<533, 262.4, 1.76967>
<534, 262.704, 0.237453>
<535, 262.925, 0.0518679>
<536, 263.292, 0.654786>
<537, 263.357, 0.149146>
<538, 263.617, 0.0325919>
<539, 264.265, 0.391027>
<540, 264.825, 0.13519>
<541, 267.323, 0.40244>
<542, 267.661, 0.316388>
<543, 269.324, 0.485189>
<544, 269.729, 0.878013>
<545, 270.181, 1.58538>
<546, 271.536, 1.18404>
<547, 271.881, 0.982601>
<548, 273.232, 1.06784>
<549, 273.536, 0.491802>
<550, 274.547, 1.6735>
<551, 274.836, 0.489989>
<552, 275.009, 0.824204>
<553, 275.382, 1.19981>
<554, 275.832, 0.290527>
<555, 275.844, 0.311165>
<556, 276.082, 0.0157404>
<557, 276.538, 2.04353>
<558, 276.707, 0.827227>
<559, 276.854, 1.84633>
<560, 276.934, 1.89816>
<561, 277.441, 0.0840108>
<562, 277.834, 0.145968>
<563, 278.446, 0.648263>
<564, 279.232, 0.176162>
<565, 280.235, 1.07787>
<566, 282.058, 0.363189>
<567, 282.082, 0.310315>
<568, 283.087, 0.850905>
<569, 284.771, 0.615157>
<570, 285.643, 4.41607>
<571, 286.292, 0.227758>
<572, 286.293, 0.393889>
<573, 286.332, 0.34302>
<574, 287.428, 0.398927>
<575, 287.499, 0.0360859>
<576, 287.598, 1.46912>
<577, 287.659, 1.28457>
<578, 288.84, 1.72745>
<579, 288.952, 1.19651>
<580, 291.013, 0.0680643>
<581, 291.234, 3.1632>
<582, 291.465, 0.518323>
<583, 291.592, 0.269589>
<584, 293.488, 0.210753>
<585, 294.083, 1.6223>
<586, 294.181, 0.549222>
<587, 294.184, 0.200257>
<588, 294.874, 0.083763>
<589, 295.193, 1.01193>
<590, 295.456, 0.927392>
<591, 296.013, 0.887768>
<592, 296.248, 1.55092>
<593, 296.435, 0.328471>
<594, 296.906, 0.717302>
<595, 298.808, 0.901384>
<596, 299.239, 0.408213>
<597, 299.64, 2.958>
<598, 300.313, 1.49698>
<599, 300.415, 1.26265>
<600, 302.109, 2.12138>
<601, 302.475, 0.155679>
<602, 302.656, 0.746319>
<603, 302.853, 0.0522488>
<604, 303.319, 1.59702>
<605, 303.9, 0.0156758>
<606, 304.157, 0.445219>
<607, 304.62, 1.49703>
<608, 304.7, 2.47262>
<609, 304.729, 1.41664>
<610, 305.008, 0.0345004>
<611, 305.224, 0.0053163>
<612, 305.455, 2.33478>
<613, 306.987, 0.115095>
<614, 307.556, 0.148226>
<615, 308.43, 1.03729>
<616, 308.439, 0.423836>
<617, 309.219, 0.386594>
<618, 310.244, 0.122617>
<619, 310.476, 0.649327>
<620, 311.697, 0.0607384>
<621, 312.036, 0.37807>
<622, 312.307, 0.102184>
<623, 312.355, 0.833582>
<624, 312.361, 0.159238>
<625, 312.557, 0.580431>
<626, 312.656, 1.12224>
<627, 312.951, 0.798938>
<628, 313.382, 0.509202>
<629, 313.92, 0.297035>
<630, 314.305, 0.663061>
<631, 315.469, 0.808976>
<632, 316.356, 1.17869>
<633, 317.397, 1.20918>
<634, 318.221, 0.283503>
<635, 318.32, 1.27517>
<636, 318.502, 1.11571>
<637, 318.52, 1.28749>
<638, 319.254, 0.1352>
<639, 319.425, 1.5243>
<640, 319.585, 0.948116>
<641, 319.711, 0.606575>
<642, 319.88, 1.10327>
<643, 319.882, 1.9995>
<644, 319.917, 1.09032>
<645, 319.982, 0.926414>
<646, 320.062, 0.0244432>
<647, 320.149, 3.8545>
<648, 320.779, 0.0346269>
<649, 321.349, 0.742725>
<650, 321.514, 1.96279>
<651, 321.655, 0.883542>
<652, 322.034, 0.328833>
<653, 322.22, 0.358541>
<654, 322.481, 0.916958>
<655, 322.525, 1.14057>
<656, 322.645, 0.365431>
<657, 322.717, 0.692699>
<658, 324.548, 0.150969>
<659, 324.775, 0.0424463>
<660, 325.589, 0.665438>
<661, 326.108, 3.04986>
<662, 326.465, 1.63118>
<663, 327.805, 0.256914>
<664, 328.716, 0.946296>
<665, 329.411, 0.126959>
<666, 329.729, 5.41529>
<667, 330.341, 0.0032138>
<668, 330.503, 0.0167736>
<669, 330.684, 1.14723>
<670, 331.164, 0.491097>
<671, 331.389, 1.77018>
<672, 331.982, 0.689143>
<673, 332.182, 1.10402>
<674, 332.69, 1.18366>
<675, 333.309, 0.583638>
<676, 333.408, 0.439452>
<677, 333.659, 1.17085>
<678, 333.746, 0.394852>
<679, 334.987, 6.3476>
<680, 336.378, 1.10025>
<681, 336.44, 0.526619>
<682, 336.984, 1.73383>
<683, 337.25, 2.78956>
<684, 338.166, 1.26274>
<685, 338.652, 0.610511>
<686, 338.707, 4.12792>
<687, 338.876, 1.60603>
<688, 339.205, 0.957363>
<689, 339.52, 0.127829>
<690, 339.706, 0.195779>
<691, 340.119, 0.672832>
<692, 340.5, 3.14425>
<693, 340.599, 1.18198>
<694, 340.765, 0.101031>
<695, 341.353, 0.249956>
<696, 342.074, 1.65578>
<697, 342.572, 0.555246>
<698, 343.072, 0.0441357>
<699, 343.299, 0.639561>
<700, 344.013, 4.2445>
<701, 345.338, 2.00596>
<702, 347.084, 0.24338>
<703, 347.631, 0.600419>
<704, 348.523, 0.142217>
<705, 348.947, 0.153226>
<706, 349.132, 0.143346>
<707, 349.632, 1.85655>
<708, 349.679, 1.66832>
<709, 350.064, 0.467714>
<710, 351.255, 0.259673>
<711, 351.706, 1.1112>
<712, 351.726, 0.255277>
<713, 351.777, 1.10928>
<714, 351.933, 0.619017>
<715, 352.01, 0.0291951>
<716, 352.306, 0.0748116>
<717, 353.43, 0.539096>
<718, 353.599, 0.81877>
<719, 354.613, 0.128095>
<720, 355.201, 0.579027>
<721, 355.353, 0.00196865>
<722, 355.778, 2.24523>
<723, 356.713, 1.0893>
<724, 357.324, 0.482683>
<725, 357.343, 0.9495>
<726, 357.816, 0.999259>
<727, 357.983, 1.04789>
<728, 358.956, 0.479342>
<729, 359.148, 0.13424>
<730, 360.072, 0.620281>
<731, 360.156, 0.341814>
<732, 360.538, 0.0498564>
<733, 361.151, 1.7282>
<734, 361.618, 0.854225>
<735, 363.047, 0.35561>
<736, 363.054, 0.229314>
<737, 363.234, 0.88442>
<738, 363.286, 0.158969>
<739, 363.43, 1.63246>
<740, 363.807, 0.339272>
<741, 364.078, 0.152478>
<742, 365.338, 1.20906>
<743, 366.12, 1.49926>
<744, 366.163, 0.116843>
<745, 367.326, 2.58583>
<746, 367.751, 0.0583887>
<747, 367.871, 0.112911>
<748, 367.927, 2.53113>
<749, 369.251, 1.24831>
<750, 369.592, 2.05411>
<751, 369.598, 0.710827>
<752, 369.638, 0.376129>
<753, 369.689, 0.193261>
<754, 369.997, 0.425265>
<755, 371.96, 4.6371>
<756, 372.463, 0.507337>
<757, 372.534, 0.806706>
<758, 372.586, 2.55727>
<759, 372.786, 0.200592>
<760, 372.803, 0.264882>
<761, 372.859, 0.929478>
<762, 373.03, 0.386555>
<763, 373.653, 0.502148>
<764, 373.791, 1.02493>
<765, 373.848, 1.33126>
<766, 374.207, 0.127887>
<767, 374.348, 0.89083>
<768, 374.632, 0.416161>
<769, 375.357, 2.24428>
<770, 375.937, 1.36925>
<771, 377.016, 0.387052>
<772, 377.093, 0.0161771>
<773, 378.131, 0.278431>
<774, 379.526, 0.22941>
<775, 379.802, 3.5505>
<776, 380.09, 0.757587>
<777, 380.52, 1.29873>
<778, 381.475, 0.340437>
<779, 381.54, 0.097445>
<780, 382.867, 0.260941>
<781, 383.749, 0.584629>
<782, 383.965, 0.0761475>
<783, 383.981, 1.52903>
<784, 384.248, 1.59845>
<785, 384.813, 0.106>
<786, 385.206, 0.824531>
<787, 385.479, 1.16187>
<788, 385.91, 0.351173>
<789, 387.241, 0.725954>
<790, 387.588, 0.438369>
<791, 387.923, 2.79419>
<792, 389.009, 0.066094>
<793, 389.557, 1.33913>
<794, 389.774, 1.55045>
<795, 390.663, 0.331585>
<796, 390.672, 1.07727>
<797, 391.317, 0.457666>
<798, 391.977, 1.41582>
<799, 392.058, 0.158461>
<800, 392.463, 1.75877>
<801, 392.605, 0.103759>
<802, 392.852, 1.10455>
<803, 393.622, 3.40853>
<804, 395.295, 1.25803>
<805, 395.625, 0.627195>
<806, 395.661, 3.52251>
<807, 395.921, 3.14224>
<808, 395.938, 0.073328>
<809, 396.532, 0.489275>
<810, 397.509, 0.745525>
<811, 398.062, 2.08806>
<812, 398.165, 0.500952>
<813, 398.304, 2.49848>
<814, 398.386, 0.500558>
<815, 398.419, 1.22549>
<816, 398.545, 0.373173>
<817, 399.362, 0.943805>
<818, 401.32, 0.893064>
<819, 401.751, 2.89807>
<820, 401.934, 0.0627413>
<821, 402.199, 0.473343>
<822, 402.215, 1.69027>
<823, 402.418, 0.0679796>
<824, 403.505, 0.0290565>
<825, 403.806, 1.36565>
<826, 404.21, 0.129875>
<827, 404.695, 1.34379>
<828, 405.057, 1.99637>
<829, 405.592, 1.1001>
<830, 405.742, 1.27752>
<831, 405.975, 0.653027>
<832, 405.992, 0.196614>
<833, 406.039, 0.0129017>
<834, 406.772, 1.10308>
<835, 408.354, 0.0784788>
<836, 409.006, 0.459614>
<837, 409.308, 1.42818>
<838, 409.409, 1.54393>
<839, 410.284, 0.0728268>
<840, 411.128, 0.326598>
<841, 411.971, 0.460848>
<842, 412.227, 0.572494>
<843, 412.284, 2.48006>
<844, 412.463, 1.44959>
<845, 412.901, 0.816525>
<846, 413.234, 3.14593>
<847, 413.253, 0.732576>
<848, 413.326, 0.136914>
<849, 413.706, 2.34923>
<850, 414.501, 0.673029>
<851, 416.458, 0.744601>
<852, 417.435, 0.566687>
<853, 417.603, 0.0432361>
<854, 417.726, 0.118005>
<855, 417.786, 0.0347532>
<856, 418.033, 2.62524>
<857, 418.291, 1.56234>
<858, 418.517, 0.717042>
<859, 419.13, 1.0892>
<860, 419.293, 0.342549>
<861, 419.418, 1.44285>
<862, 419.56, 0.299914>
<863, 419.726, 0.482043>
<864, 419.971, 1.68862>
<865, 420.14, 0.202338>
<866, 420.322, 0.310709>
<867, 420.938, 0.178382>
<868, 421.539, 5.04979>
<869, 421.655, 2.50996>
<870, 421.71, 0.383084>
<871, 423.238, 0.682863>
<872, 423.379, 0.440512>
<873, 423.546, 0.93977>
<874, 424.559, 4.80401>
<875, 424.719, 0.156933>
<876, 424.884, 0.681908>
<877, 426.082, 0.752597>
<878, 426.783, 0.213269>
<879, 427.994, 0.15145>
<880, 427.998, 0.221114>
<881, 428.193, 0.37448>
<882, 428.506, 0.0325008>
<883, 428.829, 0.180466>
<884, 428.842, 1.14389>
<885, 428.886, 0.139797>
<886, 432.889, 0.0374246>
<887, 433.379, 0.281684>
<888, 433.629, 2.41332>
<889, 434.594, 0.302626>
<890, 435.757, 0.136471>
<891, 436.017, 0.203501>
<892, 436.504, 0.378845>
<893, 437.128, 0.470617>
<894, 437.482, 0.979037>
<895, 437.845, 0.722982>
<896, 438.71, 1.83035>
<897, 439.587, 0.339889>
<898, 440.613, 0.360654>
<899, 440.915, 2.27486>
<900, 442.989, 0.770281>
<901, 443.003, 4.12694>
<902, 443.43, 1.05829>
<903, 443.56, 3.4075>
<904, 443.974, 0.0878773>
<905, 444.104, 0.626834>
<906, 444.223, 1.00612>
<907, 444.747, 1.79344>
<908, 446.242, 0.450732>
<909, 446.36, 0.610873>
<910, 448.537, 1.29069>
<911, 450.322, 1.66004>
